ИдентификаторЛота;Идентификатор;Организатор;Тендер;СуммаЛота;ОписаниеТендера;Лот;Адрес поставки;АдресОрганизатора;Главный орган;IDOrganizator;Заклад-замовник;Назва закладу
UA-2019-04-10-000553-a-L1;UA-2019-04-10-000553-a;Управління освіти Бахмутської міської ради;"Розробка проектно-кошторисної документації по об'єкту будівництва за робочим проектом ""Капітальний ремонт дошкільного навчального закладу №49 ""Кріпиш"" за адресою: вул. Ювілейна,93, м.Бахмут Донецької області. Коригування""";56700;;"Розробка проектно-кошторисної документації по об'єкту будівництва за робочим проектом ""Капітальний ремонт дошкільного навчального закладу №49 ""Кріпиш"" за адресою: вул. Ювілейна,93, м.Бахмут Донецької області. Коригування""";вул.Горбатова, 42;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;ДНЗ №49
UA-2019-04-10-000527-a-L1;UA-2019-04-10-000527-a;Управління освіти Бахмутської міської ради;"Виконання експертизи проектно-кошторисної документації проекту будівництва Капітальний ремонт дошкільного навчального закладу №49 ""Кріпиш"" за адресою: вул. Ювілейна,93, м.Бахмут Донецької області. Коригування";48574.18;;"Виконання експертизи проектно-кошторисної документації проекту будівництва Капітальний ремонт дошкільного навчального закладу №49 ""Кріпиш"" за адресою: вул. Ювілейна,93, м.Бахмут Донецької області. Коригування";вул.Горбатова, 42;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;ДНЗ №49
UA-2019-04-10-000413-a-L1;UA-2019-04-10-000413-a;Управління освіти Бахмутської міської ради;"""Технічне обстеження будівельних конструкцій міжповерхових перекриттів будівлі Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ супенів №11-багатопрофільний ліцей"" Бахмутської міської ради Донецької області, розташованого за адресою: м.Бахмут, вул.Миру,22""";56552;;"""Технічне обстеження будівельних конструкцій міжповерхових перекриттів будівлі Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ супенів №11-багатопрофільний ліцей"" Бахмутської міської ради Донецької області, розташованого за адресою: м.Бахмут, вул.Миру,22""";вул.Горбатова, 42;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) №11
UA-2019-04-15-000586-a-L1;UA-2019-04-15-000586-a;Управління освіти Бахмутської міської ради;"Роботи з розробки проектно-кошторисної документації ""Реконструкція будівлі Бахмутського навчально-виховного комплексу ""Загальноосвітня школа I-III ступенів №11 -багатопрофільний ліцей"" Бахмутської міської ради Донецької області, розташованої за адресою:м. Бахмут, вул. Миру, 22 (додаткові роботи)""";278075.3;;"Роботи з розробки проектно-кошторисної документації ""Реконструкція будівлі Бахмутського навчально-виховного комплексу ""Загальноосвітня школа I-III ступенів №11 -багатопрофільний ліцей"" Бахмутської міської ради Донецької області, розташованої за адресою:м. Бахмут, вул. Миру, 22 (додаткові роботи)""";вул. Миру, 22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) №11
UA-2019-04-15-000151-a-L1;UA-2019-04-15-000151-a;Управління освіти Бахмутської міської ради;"роботи з розробки проектно-кошторисної документації ""Реконструкція будівлі Бахмутської загальноосвітньої школи I-III ступенів № 12 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 111 (додаткові роботи)""";220919.82;;"роботи з розробки проектно-кошторисної документації ""Реконструкція будівлі Бахмутської загальноосвітньої школи I-III ступенів № 12 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Леваневського, 111 (додаткові роботи)""";Вул. Леваневського, 111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2019-03-11-002129-a-L1;UA-2019-03-11-002129-a;Управління освіти Бахмутської міської ради;"Капітальний ремонт частини віконних прорізів основної будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 10 Бахмутської міської ради Донецької області, розташованої за адресою: вул. Гаршина, 50, м. Бахмут, Донецька область""";1211340;;"Капітальний ремонт частини віконних прорізів основної будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 10 Бахмутської міської ради Донецької області, розташованої за адресою: вул. Гаршина, 50, м. Бахмут, Донецька область""";вул. Гаршина,50;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 10
UA-2019-03-12-000046-a-L1;UA-2019-03-12-000046-a;Управління освіти Бахмутської міської ради;Здійснення технічного нагляду  під час виконання робіт «Капітальний ремонт частини віконних прорізів основної будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 10 Бахмутської міської ради Донецької області, розташованої за адресою: вул. Гаршина, 50, м. Бахмут, Донецька область»;14935;;Здійснення технічного нагляду  під час виконання робіт «Капітальний ремонт частини віконних прорізів основної будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 10 Бахмутської міської ради Донецької області, розташованої за адресою: вул. Гаршина, 50, м. Бахмут, Донецька область»;вул. Гаршина,50;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 10
UA-2019-05-08-000353-a-L1;UA-2019-05-08-000353-a;Управління освіти Бахмутської міської ради;Капітальний ремонт піддашку над входом в приміщення для маломобільних груп Бахмутської загальноосвітньої школи І-ІІ ступенів № 2 Бахмутської міської ради Донецької області, розташованої за адресою: 84500, Донецька область, м.Бахмут, вул.Корсунського,65.;150000;;Капітальний ремонт піддашку над входом в приміщення для маломобільних груп Бахмутської загальноосвітньої школи І-ІІ ступенів № 2 Бахмутської міської ради Донецької області, розташованої за адресою: 84500, Донецька область, м.Бахмут, вул.Корсунського,65.;вул. Корсунського, 65;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 2
UA-2019-05-06-001435-a-L1;UA-2019-05-06-001435-a;Управління освіти Бахмутської міської ради;Розробка проектно-кошторисної документації «Капітальний ремонт опалення з встановленням ІТП в будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 7 Бахмутської міської ради Донецької області, розташованої за адресою: м.Бахмут, вул.Ковальська,121»;122301.63;;Розробка проектно-кошторисної документації «Капітальний ремонт опалення з встановленням ІТП в будівлі Бахмутської загальноосвітньої школи І-ІІІ ступенів № 7 Бахмутської міської ради Донецької області, розташованої за адресою: м.Бахмут, вул.Ковальська,121»;вул. Ковальська, 121;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 7
UA-2019-05-07-000236-a-L1;UA-2019-05-07-000236-a;Управління освіти Бахмутської міської ради;Поточний ремонт  частини покрівлі (актова зала) будівлі Бахмутської загальноосвітньої школи I-II  ступенів №3 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Чаплина,1;190358;;Поточний ремонт  частини покрівлі (актова зала) будівлі Бахмутської загальноосвітньої школи I-II  ступенів №3 Бахмутської міської ради Донецької області, розташованої за адресою: м. Бахмут, вул. Чаплина,1;вул. Чаплина,1;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа №3
