ИдентификаторЛота;Идентификатор;Организатор;Тендер;СуммаЛота;ОписаниеТендера;Лот;Адрес поставки;АдресОрганизатора;Главный орган;IDOrganizator;Заклад-замовник;Назва закладу
UA-2018-11-28-002004-c-L1;UA-2018-11-28-002004-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Паперові чи картонні реєстраційні журнали;6720;;Паперові чи картонні реєстраційні журнали;заклади освіти;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-09-06-000728-c-L1;UA-2018-09-06-000728-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Паперові чи картонні реєстраційні журнали;1068;Паперові чи картонні реєстраційні журнали;Паперові чи картонні реєстраційні журнали;вул. Гагаріна, 18;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-05-03-000235-c-L1;UA-2018-05-03-000235-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Холодильники та морозильні камери;165000;Холодильники та морозильні камери;Холодильники та морозильні камери;заклади освіти;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-11-26-001689-c-L1;UA-2018-11-26-001689-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Будівельні товари;29484;Будівельні товари;Будівельні товари;вул. М. Лагунової, 18-а;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-11-27-000056-c-L1;UA-2018-11-27-000056-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;58803.85;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;заклади освіти;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-04-12-001274-c-L1;UA-2018-04-12-001274-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;462000;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;вул. М. Лагунової, 11-б;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-11-12-000104-c-L1;UA-2018-11-12-000104-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;5674.5;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;вул. М. Лагунової, 18-А;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-11-16-001006-c-L1;UA-2018-11-16-001006-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;115200;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;вул. М. Лагунової, 18-а;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-11-27-002209-c-L1;UA-2018-11-27-002209-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;7954;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;вул. М. Лагунової, 18-а;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-09-24-002249-c-L1;UA-2018-09-24-002249-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;163000;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування;вул. М. Лагунової, 11-б;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-03-13-002536-c-L1;UA-2018-03-13-002536-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Побутова техніка;1890;Побутова техніка;Побутова техніка;вул. Гагаріна,18;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-03-12-002158-c-L1;UA-2018-03-12-002158-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Побутова техніка;9195.84;Побутова техніка;Побутова техніка;бульвар Незалежності, 15-б;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-07-02-000310-c-L1;UA-2018-07-02-000310-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Шкільні підручники;49972.5;Шкільні підручники;Шкільні підручники;вул. Гагаріна, 18;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-07-000354-c-L1;UA-2018-08-07-000354-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Вироби для парків розваг, настільних або кімнатних ігор;176500;Вироби для парків розваг, настільних або кімнатних ігор;Вироби для парків розваг, настільних або кімнатних ігор;заклади освіти;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-06-27-000403-c-L1;UA-2018-06-27-000403-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Вироби для парків розваг, настільних або кімнатних ігор;1241543;Вироби для парків розваг, настільних або кімнатних ігор;Вироби для парків розваг, настільних або кімнатних ігор;бульвар Незалежності, 8-А;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
