;university_name;Назва
13734;"БОГОДУХІВСЬКИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК) № 7 ""ТЕРЕМОК"" БОГОДУХІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ";ТЕРЕМОК
13733;"БОГОДУХІВСЬКИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК)№6 ""ДЗВІНОЧОК""БОГОДУХІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ";ДЗВІНОЧОК
13732;"БОГОДУХІВСЬКИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК) № 5 ""ЯЛИНКА"" БОГОДУХІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ";ЯЛИНКА
13735;"БОГОДУХІВСЬКИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД №8 ""КАЗКА"" (ЯСЛА-САДОК) БОГОДУХІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ";КАЗКА
13736;"БОГОДУХІВСЬКИЙ ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК) №9 ""БЕРІЗКА"" БОГОДУХІВСЬКОЇ МІСЬКОЇ РАДИ БОГОДУХІВСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ";БЕРІЗКА
13886;"Черемушнянська філія комунального закладу ""Шарівський ліцей Валківської районної ради Харківської області""";Шарівський ліцей Валківської районної ради Харківської області
16316;"Навчально-виховний комплекс з поглибленим вивченням англійської мови ""Кияночка"" Шевченківського району міста Києва";Кияночка
15357;"Дошкільний навчальний заклад ""Голубок"" (ясла-садок комбінованого типу)";Голубок
15358;"Новороздільський дошкільний навчальний заклад ""Сонечко"" Новороздільської міської ради Львівської області (ясла-садок)";Сонечко
15359;"Дошкільний навчальний заклад ""Малятко"" Новороздільської міської ради";Малятко
3301;"Дошкільний навчальний заклад (ясла-садок) комбінованого типу ""Веселка""";Веселка
3454;"Заклад дошкільної освіти №2 ""Ромашка""";Ромашка
6724;"Дошкільний навчальний заклад (ясла - садок) комбінованого типу ""Орлятко""";Орлятко
