;university_name;Назва
3495;"Опорний загальноосвітній навчальний заклад ""Жоравський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів – дошкільний навчальний заклад (ясла-садок)""";Жоравський навчально-виховний комплекс 
3497;"Райківщинський дошкільний навчальний заклад (ясла-садок) "" Малятко"""; Малятко
2935;"Заклад дошкільної освіти ясла-садок ""Промінь"" комбінованого типу Баришівської селищної ради Київської області";Промінь
11244;"Томашівський навчально-виховний комплекс""ЗЗСО І-ІІІ ступенів-дитячий садок""";ЗЗСО І-ІІІ ступенів-дитячий садок
15130;"Опорний загальноосвітній навчальний заклад Пилипівський навчальновиховний комплекс ""Загальноосвітня школа І-ІІІ ступенів- дитячий садок"" Фастівської районної ради Київської області";Загальноосвітня школа І-ІІІ ступенів- дитячий садок
13017;"Страхоліське навчально-виховне об'єднання ""загальноосвітня школа Iступеня - дитячий садок""";загальноосвітня школа Iступеня - дитячий садок
5847;"Биковогребельська філія опорного навчального закладу Шкарівська ""Загальноосвітня школа І-ІІІ ступенів-дитячий садок""";Загальноосвітня школа І-ІІІ ступенів-дитячий садок
14341;"Пиковецький загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""Школа - дитячий садок""";Школа - дитячий садок
15862;"Комунальний заклад ""Спеціальна загальноосвітня школа І-ІІ ступенів з дошкільним відділенням Вінницької міської ради""";Спеціальна загальноосвітня школа І-ІІ ступенів з дошкільним відділенням Вінницької міської ради
14331;"Вернигородоцький загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""Школа-дитячий садок""";Школа-дитячий садок
979;"Матвіївський загальноосвітній навчально-виховний комплекс ""Всесвіт""ДНЗ ""Калинонька""";Всесвіт
16385;"Навчально виховний комплекс ""Міжнародний ліцей Міжрегіональної Академії управління персоналом""";Міжнародний ліцей Міжрегіональної Академії управління персоналом
16495;"Приватне підприємство ""Спеціалізована школа ""Тріумф""";Спеціалізована школа 
5212;"КЗ "" Новомиколаївський навчально – виховний комплекс ""Загальноосвітня школа І –ІІ ступенів- дитячий садок"""; Новомиколаївський навчально – виховний комплекс 
